First_Name,Last_Name,Government_ID,DOB,1st_Contact_Relative_Contact_ID,Home_City,ArmedServices_ID,Squad_ID,Branch,Blood_Group,Current_Rank,Current_Operation_Assigned,Current_Operation_Role_Assigned,Personnel_Status,Response_Days
Kiara,Nair,GOV-G9L0AQQ4,1973-03-14,CT-258184,Tampere,AS-EM47V4,3149,Medical,A-,Corporal,OP295,Rifleman,active,3
Zara,Menon,GOV-LER3EPM9,1966-09-02,CT-958469,Calgary,AS-SB5VN5,3004,Army,B+,Brigadier,OP231,Communications,active,6
Noah,Gupta,GOV-6OTMGOA8,1979-03-28,CT-493189,Mumbai,AS-K86S20,3024,Navy,B+,Corporal,OP019,Communications,recovering,57
Aarav,Iyer,GOV-DJ2GP0B2,1988-01-30,CT-313314,Seattle,AS-1KX75F,3015,Army,AB-,Private,OP119,Recon,active,5
Harper,Jackson,GOV-I6FK0YD0,1965-08-17,CT-576598,Naples,AS-CLTI3D,3081,Navy,AB+,Captain,OP068,Signals,active,4
Noah,Sharma,GOV-LBHOZWBU,1985-05-12,CT-002417,Boston,AS-EV0VI3,3083,Medical,O+,Colonel,OP075,Operator,active,1
Elijah,Martinez,GOV-U7JKJQRZ,1982-11-02,CT-220358,Milan,AS-9TX5YT,3274,Navy,B-,Corporal,OP094,Medic,retired,0
Olivia,Khan,GOV-73SUR43V,1976-04-12,CT-787219,Shanghai,AS-2CB524,3142,Navy,O-,Brigadier,OP203,Analyst,active,2
Vivaan,Jones,GOV-AUW98F94,1990-11-30,CT-513003,Tampere,AS-37FFHV,3034,Medical,AB+,Sergeant,OP256,Rifleman,active,5
Vivaan,Bhat,GOV-HUV2JS4Z,1969-05-02,CT-933142,Gothenburg,AS-FE36RK,3275,Special Forces,AB-,Corporal,OP240,Engineer,reserve,11
Sophia,Das,GOV-MBT31FXF,1982-05-25,CT-056395,Seville,AS-MA6OLR,3022,Air Force,A-,Private,OP020,Operator,active,7
William,Singh,GOV-Q57POPZB,1970-09-04,CT-335459,Tampere,AS-TTV6KZ,3265,Navy,B-,Major,OP011,Operator,retired,0
Rudra,Williams,GOV-3QUTEHJI,1967-04-05,CT-362241,Hyderabad,AS-H1P95V,3237,Cyber,A-,Brigadier,OP129,Operator,reserve,8
Amelia,Khan,GOV-AAVXPV43,2002-04-21,CT-602336,Bergen,AS-CEBRIJ,3101,Air Force,O+,Brigadier,OP213,Rifleman,recovering,46
Henry,Perez,GOV-RX4VW4S1,1969-07-09,CT-646844,Hyderabad,AS-JLYK7R,3003,Army,O-,Private,OP071,Engineer,active,1
Alexander,Wilson,GOV-4U9VBNQ1,2007-04-26,CT-169331,Galle,AS-UECK8V,3104,Navy,AB+,Major,OP154,Recon,reserve,18
Vihaan,Mukherjee,GOV-CJVASKC1,1990-05-17,CT-516724,Bergen,AS-EKMDOX,3171,Signals,A+,Colonel,OP021,Pilot,recovering,55
Elijah,Kaul,GOV-2A4RYDS2,1968-05-04,CT-942289,George Town,AS-GBLTQU,3014,Special Forces,AB+,Captain,OP177,Sniper,recovering,81
James,Smith,GOV-EB65H9RS,1980-04-17,CT-579126,Ahmedabad,AS-4UWYKP,3288,Signals,O-,Colonel,OP137,Drone Operator,active,6
Kiara,Nair,GOV-2AHWTQWY,2007-10-29,CT-926770,New York,AS-3J80A8,3239,Army,O-,Corporal,OP038,Analyst,active,7
Amelia,Miller,GOV-3R6AID0J,1980-04-12,CT-478217,Stuttgart,AS-H4TXO6,3219,Signals,A-,Brigadier,OP048,Recon,active,3
Saanvi,Lee,GOV-H0D79I1R,1982-10-10,CT-685203,Brasília,AS-LZXKM9,3194,Army,O-,Corporal,OP179,Signals,active,3
Lucas,Jackson,GOV-EALZPIHX,1973-02-28,CT-220070,Ahmedabad,AS-KE0D6O,3270,Navy,A-,Corporal,OP261,Sniper,active,3
Arjun,Rao,GOV-QF0DGKTK,1974-07-04,CT-240566,Hanoi,AS-D7774G,3214,Special Forces,A-,Lieutenant,OP265,Communications,reserve,19
Riya,Kaul,GOV-LW3SHSCA,1979-02-03,CT-504706,Giza,AS-W0TMSV,3002,Air Force,O-,Corporal,OP273,Engineer,active,3
Riya,Johnson,GOV-TAHHYABT,1975-01-06,CT-578277,Kandy,AS-72F1C2,3114,Army,O+,Corporal,OP142,Signals,active,7
Evelyn,Iyer,GOV-LM4Y61I0,1980-07-11,CT-107653,Beijing,AS-WCW1HY,3189,Logistics,AB-,Lieutenant,OP178,EOD,active,4
Henry,Nair,GOV-A0IP1XDP,1974-11-03,CT-368905,Shanghai,AS-PQQCSO,3154,Medical,B-,Corporal,OP098,Drone Operator,active,6
Isabella,Menon,GOV-TPN379UZ,1973-03-17,CT-557772,Giza,AS-HJL82D,3098,Army,AB-,Colonel,OP146,Communications,active,5
William,Jackson,GOV-9Q14WEP1,1994-09-21,CT-653489,Singapore,AS-YGC6LJ,3085,Cyber,B+,Private,OP118,Pilot,recovering,32
Tara,Banerjee,GOV-U50L4PUJ,1995-12-20,CT-151421,Pretoria,AS-LZSSVK,3015,Signals,AB+,Sergeant,OP050,Operator,retired,0
Olivia,Kulkarni,GOV-H5738N1U,1981-01-08,CT-713749,Shenzhen,AS-6A3S1I,3257,Navy,O-,Private,OP184,Recon,reserve,15
Kiara,Sharma,GOV-NQ935JLU,1980-08-25,CT-183576,Moscow,AS-09YUQ7,3276,Logistics,AB-,Private,OP179,Signals,active,1
Elijah,Rao,GOV-R9QVFJ6Z,1971-06-20,CT-043410,São Paulo,AS-REV1NK,3237,Signals,O-,Captain,OP082,Sniper,active,3
Aditi,Jackson,GOV-FUG2XUY5,1987-10-01,CT-971699,Lyon,AS-TBROGB,3002,Signals,AB+,Captain,OP091,Signals,active,6
Rudra,Patel,GOV-S1LRY8BG,1983-04-14,CT-530847,Shanghai,AS-YRKPI0,3193,Medical,B-,Lieutenant,OP036,Rifleman,active,2
Kabir,Khan,GOV-7W9ZH5CF,1980-02-03,CT-701568,Glasgow,AS-JWB2WD,3244,Medical,B-,Corporal,OP246,Pilot,active,2
Oliver,Moore,GOV-1JKXSER7,1983-12-22,CT-530946,Singapore,AS-XWAO4T,3013,Signals,B+,Colonel,OP041,Operator,active,6
Vihaan,Thomas,GOV-F0GICC3R,1969-05-29,CT-989170,Jaipur,AS-Q62F7Z,3100,Logistics,A+,Colonel,OP113,Recon,active,3
Kabir,Anderson,GOV-KHH6F2N2,1997-12-01,CT-187623,Port Elizabeth,AS-I0OV1R,3053,Navy,B+,Private,OP009,EOD,active,2
Rudra,Perez,GOV-S535J4J2,1985-06-27,CT-532855,Saint Petersburg,AS-7W9TWS,3011,Army,O-,Brigadier,OP062,Recon,reserve,15
Diya,Patel,GOV-HCPPLP5K,1990-05-18,CT-470713,Malmö,AS-DOTC24,3259,Signals,AB+,Corporal,OP232,EOD,recovering,48
Krishna,Patel,GOV-94RRWUMR,1988-02-27,CT-610015,Jakarta,AS-L21A4F,3178,Medical,O-,Private,OP056,EOD,active,7
Tara,Bhat,GOV-LJVNRKYY,1991-12-11,CT-316545,Brasília,AS-4I7EQ4,3198,Army,AB+,Brigadier,OP244,Rifleman,active,6
Evelyn,Bhat,GOV-7H9W09GQ,2009-04-18,CT-845094,Los Angeles,AS-XJ8CWJ,3209,Air Force,A+,Lieutenant,OP220,Operator,reserve,16
Ira,Lee,GOV-ZGHCOMQC,1996-08-23,CT-469808,Colombo,AS-Q6YWJS,3296,Logistics,B+,Brigadier,OP172,Recon,active,5
Lucas,Jones,GOV-JU70K8UL,2007-03-27,CT-210901,Guangzhou,AS-ZOZH0L,3180,Air Force,A-,Brigadier,OP152,Communications,active,1
Saanvi,Bose,GOV-S5P9XQ1V,1972-04-30,CT-806184,Naples,AS-HA0PZG,3265,Signals,A-,Brigadier,OP276,Communications,active,1
Liam,Singh,GOV-48894N36,1992-10-12,CT-285985,Dallas,AS-08W1MG,3208,Logistics,A-,Sergeant,OP260,Rifleman,active,6
Benjamin,Kulkarni,GOV-VFSN509A,2007-08-20,CT-704742,Nice,AS-TTAOFT,3007,Navy,AB+,Lieutenant,OP041,Recon,active,2
Evelyn,Jackson,GOV-6H4P0K46,1999-05-03,CT-761162,Vancouver,AS-MREETD,3068,Special Forces,A-,Brigadier,OP169,Engineer,active,3
Krishna,Bhat,GOV-HJOZEQ4N,1989-04-23,CT-667301,Brisbane,AS-OO7KBO,3077,Special Forces,AB-,Private,OP185,Drone Operator,active,3
Riya,Jones,GOV-Z5R1QE5D,1978-06-25,CT-383846,Leeds,AS-6VTRG1,3259,Logistics,B+,Colonel,OP157,Pilot,active,2
Lucas,Perez,GOV-L1GHLLE1,1966-11-14,CT-854567,Surabaya,AS-FNSTOH,3005,Signals,AB-,Captain,OP029,Operator,active,2
Liam,Lee,GOV-113GCU8W,1984-06-20,CT-235398,Calgary,AS-WSPTFX,3239,Cyber,B+,Lieutenant,OP217,Signals,retired,0
Riya,Martin,GOV-1TRON72U,1987-12-06,CT-463634,Frankfurt,AS-ZZPYZJ,3042,Logistics,O+,Private,OP069,EOD,retired,0
Riya,Rao,GOV-3VL0Y72B,1977-09-04,CT-344170,Houston,AS-ITZRV6,3000,Signals,B-,Colonel,OP191,Operator,active,2
Evelyn,Williams,GOV-YCUL5FF1,1978-03-01,CT-485006,Colombo,AS-K1EE2F,3005,Cyber,AB+,Sergeant,OP200,Sniper,active,3
Aditi,Menon,GOV-YOD91Y7V,1976-10-07,CT-185634,Kisumu,AS-3SKGKL,3013,Navy,AB-,Brigadier,OP053,Analyst,active,1
Mia,Anderson,GOV-05OHR9TR,2005-08-30,CT-582040,Medan,AS-V1B6G7,3029,Army,O-,Corporal,OP227,Rifleman,reserve,21
James,Miller,GOV-YZE643C3,1993-02-24,CT-886777,Pune,AS-J607BO,3287,Navy,A-,Lieutenant,OP181,Pilot,active,5
Evelyn,Anderson,GOV-WQ8ZD9C4,1976-07-27,CT-440640,Hamburg,AS-9ZZXSB,3127,Navy,O+,Colonel,OP257,Communications,active,2
Meera,Johnson,GOV-V8E8ZA30,1995-04-04,CT-577812,Melbourne,AS-UD74SX,3126,Air Force,AB-,Colonel,OP104,Sniper,retired,0
Kabir,Davis,GOV-11G1K537,1966-06-18,CT-900805,Glasgow,AS-0SJI6W,3085,Navy,AB-,Colonel,OP273,Drone Operator,recovering,39
Lucas,Bose,GOV-DY9G3S3L,1991-08-13,CT-201857,Medan,AS-FEC5CE,3071,Special Forces,A+,Sergeant,OP237,Pilot,active,5
Emma,Thomas,GOV-BKIVVX8R,1987-02-10,CT-814441,Sharjah,AS-KIMBPC,3243,Navy,AB-,Corporal,OP148,Drone Operator,active,6
Mia,Mukherjee,GOV-JIAGLKHU,1969-08-18,CT-416121,Valencia,AS-VLDBZS,3078,Special Forces,AB+,Sergeant,OP028,Sniper,active,3
Emma,Brown,GOV-L9HRAZP2,1973-11-01,CT-736571,Medan,AS-IRJDA1,3167,Special Forces,AB+,Colonel,OP288,Analyst,recovering,66
Saanvi,Patel,GOV-Q5INKIBZ,2005-06-15,CT-071842,Valencia,AS-0HPA14,3170,Air Force,AB-,Sergeant,OP262,Signals,active,2
Vihaan,Chopra,GOV-WZ61XVML,2005-02-19,CT-895309,Abu Dhabi,AS-310CH3,3234,Army,B+,Major,OP001,Sniper,active,7
William,Verma,GOV-3925DKHQ,1975-07-29,CT-240222,Bordeaux,AS-4P4TNV,3031,Logistics,AB+,Sergeant,OP148,EOD,active,6
Arjun,Thompson,GOV-2M1IO9PB,1990-01-17,CT-223452,Malmö,AS-6ZW6AN,3291,Medical,O-,Sergeant,OP207,Sniper,retired,0
Henry,Smith,GOV-SPOP7QY5,1989-09-26,CT-029946,Shenzhen,AS-GTVTJO,3119,Signals,O-,Private,OP218,EOD,active,6
Rudra,Brown,GOV-SPZYRDKJ,1991-01-10,CT-281716,Muscat,AS-LB01H8,3283,Medical,B-,Corporal,OP026,Drone Operator,active,2
Rudra,Miller,GOV-TR96K915,1970-11-04,CT-728128,Bengaluru,AS-NO0GPF,3053,Special Forces,B+,Private,OP075,Signals,retired,0
Elijah,Taylor,GOV-NER3SVZX,2001-01-08,CT-049064,Ho Chi Minh City,AS-CJ2A0G,3168,Logistics,A-,Major,OP029,Sniper,retired,0
Rudra,Bose,GOV-OALV1LF5,1998-10-08,CT-466559,Osaka,AS-KOVIHH,3272,Medical,O-,Major,OP002,Signals,reserve,16
Krishna,Banerjee,GOV-QDF197WU,1978-03-30,CT-391497,Houston,AS-XV5MXM,3021,Army,A+,Sergeant,OP059,Signals,reserve,16
William,Smith,GOV-7DNOXABK,1969-11-23,CT-796984,Dallas,AS-8AOO7J,3030,Signals,A+,Lieutenant,OP134,Pilot,reserve,18
Ishaan,Singh,GOV-LK7SWNN8,2001-04-09,CT-519346,Salvador,AS-EADJEJ,3273,Air Force,B-,Major,OP278,Operator,recovering,51
James,Miller,GOV-BNSMBDH6,1967-09-15,CT-167338,Marseille,AS-LIEBVK,3054,Medical,O+,Brigadier,OP256,Rifleman,active,2
Sophia,Garcia,GOV-3UHSF9TY,1975-04-26,CT-200411,Pretoria,AS-BXCQ5G,3148,Signals,O-,Brigadier,OP287,Medic,reserve,10
Henry,Kapoor,GOV-VG84G6PE,1978-08-08,CT-968804,Durban,AS-F1TB6E,3119,Navy,O-,Corporal,OP189,Engineer,active,3
Emma,Nair,GOV-OLDMR7GO,1981-05-28,CT-928027,Saint Petersburg,AS-6RIZTN,3249,Logistics,A+,Captain,OP008,Drone Operator,active,3
Diya,Miller,GOV-GTZ8NBGD,1977-09-23,CT-628727,Fortaleza,AS-3MCNP1,3124,Special Forces,A-,Sergeant,OP269,Signals,retired,0
Amelia,Iyer,GOV-D0Y9Q66F,1983-09-19,CT-826074,Giza,AS-AV15GB,3112,Cyber,B+,Colonel,OP097,Analyst,active,6
Meera,Martin,GOV-O1BI7NHZ,1982-03-29,CT-783553,Mombasa,AS-T6XN9X,3215,Special Forces,O+,Sergeant,OP199,Communications,recovering,57
Mia,Khan,GOV-AXONIHN6,1993-07-01,CT-006279,Fukuoka,AS-TUIQRY,3044,Navy,AB-,Lieutenant,OP282,Recon,reserve,17
Abigail,Bhat,GOV-TBMBTGGK,1968-12-10,CT-982475,Nice,AS-V6JBXP,3260,Army,B-,Private,OP275,Rifleman,active,1
Harper,Mukherjee,GOV-TSPIO9Q0,1969-04-01,CT-202442,Birmingham,AS-TX908U,3168,Signals,AB-,Captain,OP053,Analyst,reserve,9
Evelyn,Nair,GOV-YKKKDTBH,1999-10-29,CT-604799,Malmö,AS-UIDXDN,3066,Navy,O-,Sergeant,OP214,Recon,retired,0
Noah,Banerjee,GOV-WPDOB2ZS,1971-11-13,CT-216137,Thessaloniki,AS-NHR4VR,3140,Medical,A-,Sergeant,OP190,Recon,active,2
Riya,Menon,GOV-XQ8RLHQ5,2000-10-24,CT-687816,Nagoya,AS-W6IFNW,3190,Medical,O+,Lieutenant,OP285,Rifleman,reserve,7
Sophia,Davis,GOV-ZIR1IG98,1982-06-08,CT-216012,Brasília,AS-G3PFBF,3091,Logistics,B+,Major,OP182,Medic,active,3
Liam,Sharma,GOV-5PVCG01U,1969-05-09,CT-974093,Gothenburg,AS-U03HZ4,3127,Air Force,B-,Major,OP166,Communications,active,7
Harper,Taylor,GOV-QGDG8SC8,1965-09-20,CT-468826,Los Angeles,AS-FT8DXI,3064,Signals,B-,Sergeant,OP295,Analyst,reserve,21
Henry,Patel,GOV-YSF0HH79,1997-12-28,CT-924768,Melbourne,AS-RNMR2N,3208,Army,A-,Colonel,OP179,Pilot,recovering,34
Liam,Martinez,GOV-OQFNUECD,1978-06-06,CT-586353,George Town,AS-847QPF,3057,Navy,B-,Lieutenant,OP019,Analyst,retired,0
Lucas,Wilson,GOV-6W8S4Z8V,2007-11-19,CT-913386,Ho Chi Minh City,AS-UC3YKK,3061,Air Force,A-,Corporal,OP258,Medic,reserve,11
Aarav,Moore,GOV-8LLDH11Y,1992-12-16,CT-963387,Hanoi,AS-PTGB9X,3068,Special Forces,B-,Lieutenant,OP143,Signals,recovering,82
Rudra,Thompson,GOV-8CTC0J1I,1992-03-18,CT-467338,Doha,AS-Q2FLLE,3249,Air Force,O-,Corporal,OP257,Analyst,active,4
Tara,Bhat,GOV-MORKI2H2,1972-07-14,CT-501890,Frankfurt,AS-7V1Y70,3061,Cyber,O+,Major,OP201,Engineer,active,1
James,Lee,GOV-REYOLKIA,1984-05-06,CT-781489,Barcelona,AS-50G0C0,3197,Logistics,AB+,Private,OP213,Engineer,reserve,12
Rudra,Martin,GOV-M5AK4Q86,1984-03-24,CT-501965,Bandung,AS-56K98N,3089,Cyber,AB-,Brigadier,OP092,Recon,recovering,55
Emma,Nair,GOV-M2D0NI2P,1997-10-02,CT-270258,Ahmedabad,AS-N39Q0S,3061,Special Forces,O-,Brigadier,OP123,Medic,active,4
Ira,Mukherjee,GOV-XXIYKR38,2004-10-26,CT-556266,Vancouver,AS-IN22UK,3007,Army,O+,Colonel,OP289,Pilot,retired,0
Vihaan,Anderson,GOV-IFBIPTGB,2002-06-10,CT-909838,Bandung,AS-5VMEUZ,3137,Air Force,O-,Major,OP255,Drone Operator,active,2
Arjun,Sharma,GOV-27G0JBC0,1997-08-14,CT-281129,Seville,AS-XGRDOF,3196,Army,AB+,Major,OP205,EOD,active,3
Aditya,Smith,GOV-SR13ES6O,1969-12-22,CT-115703,Seville,AS-3TUOR6,3105,Special Forces,A+,Lieutenant,OP172,Drone Operator,recovering,44
Alexander,Patel,GOV-L37NSPRR,1976-03-20,CT-841969,Durban,AS-E26OGF,3257,Navy,AB-,Brigadier,OP087,Analyst,reserve,8
Abigail,Nair,GOV-Z4MIDNYF,1993-11-07,CT-126288,Paris,AS-UXZRKA,3272,Special Forces,AB-,Major,OP142,Signals,active,5
Lucas,Verma,GOV-YTE4UIEB,1975-11-27,CT-406784,Vancouver,AS-XH0UB6,3177,Medical,AB-,Lieutenant,OP030,Sniper,retired,0
Meera,Thomas,GOV-J6L98BX5,1989-01-15,CT-389253,George Town,AS-UDIL6I,3050,Special Forces,A-,Corporal,OP242,Operator,active,5
Benjamin,Bose,GOV-R8J6IU93,1986-02-06,CT-838052,Valencia,AS-UBBLO3,3133,Logistics,A-,Private,OP151,Pilot,retired,0
Riya,Davis,GOV-37KRCMEM,1981-10-30,CT-081530,Melbourne,AS-GYRN9M,3135,Special Forces,A+,Lieutenant,OP234,Drone Operator,active,2
Kiara,Jackson,GOV-2VT9F3O4,1973-08-23,CT-866777,Tokyo,AS-LA0XWL,3063,Logistics,AB+,Major,OP068,Analyst,retired,0
Riya,Chopra,GOV-LZYSW0AK,1978-12-15,CT-383937,Calgary,AS-S2FSYH,3122,Signals,B-,Colonel,OP208,Medic,active,2
Arjun,Taylor,GOV-NIAGSF41,2001-05-09,CT-957881,Montreal,AS-7NE161,3027,Signals,O+,Lieutenant,OP171,Rifleman,retired,0
Rudra,Chopra,GOV-FT4XCGXI,2004-09-08,CT-520630,Shanghai,AS-TFR3G8,3174,Signals,A-,Colonel,OP035,Operator,reserve,19
Arjun,Mukherjee,GOV-T1T4755A,1974-01-10,CT-942172,Tokyo,AS-UC3I96,3252,Air Force,O+,Major,OP199,Sniper,active,6
Emma,Smith,GOV-DZJWBK0O,1976-10-28,CT-133851,Moscow,AS-U5BUQX,3058,Navy,AB-,Major,OP035,Rifleman,active,7
Harper,Mukherjee,GOV-8B04TRW4,1969-12-03,CT-688507,Mombasa,AS-BKAUMR,3131,Special Forces,A+,Lieutenant,OP089,EOD,recovering,62
Emma,Jones,GOV-2GI7SPWV,1992-06-06,CT-022655,Toronto,AS-4DTYI4,3090,Army,A-,Major,OP243,Signals,active,7
Krishna,Wilson,GOV-I1URM1H2,1998-03-27,CT-141616,Munich,AS-JH9VWV,3118,Army,O-,Corporal,OP274,Communications,reserve,10
Ava,Rodriguez,GOV-4JVY5U5L,1973-04-12,CT-591965,Fukuoka,AS-OXANLI,3175,Special Forces,B-,Captain,OP263,Signals,active,7
Ishaan,Mukherjee,GOV-YB57WLFV,1984-10-03,CT-596331,Beijing,AS-OSVXI6,3202,Air Force,O-,Corporal,OP043,Rifleman,reserve,14
Mia,Jones,GOV-WQUM0AAU,1980-04-01,CT-201444,London,AS-Z5PZ4Q,3143,Army,AB-,Sergeant,OP294,Operator,recovering,54
Liam,Verma,GOV-4GNTLYJ5,2006-08-14,CT-641943,Athens,AS-4U7UD8,3295,Air Force,O-,Corporal,OP050,Engineer,active,2
Liam,Thompson,GOV-YQP6OWLV,1995-09-30,CT-752155,Pune,AS-2GT7EE,3017,Logistics,AB-,Brigadier,OP020,Signals,recovering,82
Sophia,Davis,GOV-BPULK8GG,1987-10-31,CT-554245,Vancouver,AS-2E1B68,3269,Air Force,O+,Lieutenant,OP083,Engineer,active,5
Sai,Williams,GOV-HLIUSAHP,1966-11-18,CT-200904,Birmingham,AS-ZUY21J,3038,Logistics,AB-,Colonel,OP196,Medic,recovering,34
Rudra,Jackson,GOV-QUEYY4WZ,1996-12-04,CT-783443,São Paulo,AS-B9K8TT,3166,Air Force,O+,Private,OP051,Analyst,reserve,7
Harper,Brown,GOV-0SGEO0T8,2000-04-20,CT-946724,Izmir,AS-7VTIJ8,3258,Air Force,A+,Major,OP276,EOD,active,1
Emma,Jackson,GOV-GS6FA6S9,1982-12-08,CT-630274,Malmö,AS-F8QJ0N,3126,Navy,O+,Captain,OP290,Analyst,active,5
Aditi,Patel,GOV-SM9WZJXK,1979-07-01,CT-771683,Leeds,AS-88ZHHB,3215,Logistics,A+,Colonel,OP045,Engineer,recovering,61
Elijah,Rao,GOV-W3ZWHGGB,1989-11-17,CT-031872,Adelaide,AS-1HWWWC,3105,Army,AB-,Corporal,OP147,Operator,active,2
Vivaan,Bose,GOV-DADD2W58,1978-08-19,CT-809959,Pune,AS-63Q17F,3182,Air Force,O+,Colonel,OP258,Analyst,active,7
Ananya,Reddy,GOV-SG89E2GO,1989-04-19,CT-050663,Bordeaux,AS-D6KHAS,3217,Special Forces,AB+,Brigadier,OP222,EOD,retired,0
Vivaan,Bose,GOV-5LOL39ZC,2006-10-12,CT-763177,Abu Dhabi,AS-UQIVPK,3098,Air Force,AB+,Lieutenant,OP147,Rifleman,active,1
Arjun,Wilson,GOV-7DTJ74SW,1976-07-23,CT-984827,Istanbul,AS-2JNG4W,3083,Signals,A-,Lieutenant,OP019,Sniper,active,3
Ava,Mukherjee,GOV-GRRMAANL,1994-01-14,CT-702422,Kuala Lumpur,AS-14V7KS,3240,Logistics,AB-,Major,OP038,Sniper,active,1
Ishaan,Martin,GOV-PX0PP5L9,1984-10-02,CT-991289,Brasília,AS-PM28C8,3024,Signals,O-,Major,OP202,Rifleman,active,6
Olivia,Verma,GOV-E0Z63LRF,1977-09-04,CT-566791,New York,AS-P53MTU,3219,Special Forces,AB+,Sergeant,OP213,Medic,active,3
Vihaan,Reddy,GOV-2BQ6VXXH,2002-03-03,CT-687739,Munich,AS-GL9NZV,3193,Medical,AB-,Private,OP116,EOD,reserve,10
Aditya,Brown,GOV-GHVNHUWI,1997-09-02,CT-248146,Trondheim,AS-U6GX8H,3002,Air Force,A-,Colonel,OP136,Analyst,active,5
Aditya,Perez,GOV-M0OZYDZQ,1969-12-20,CT-983853,Stockholm,AS-2G4IL2,3128,Air Force,AB-,Captain,OP110,Operator,active,5
Harper,Kapoor,GOV-JKJ802GW,1969-09-12,CT-776897,Hanoi,AS-7WKKSJ,3224,Cyber,B+,Major,OP222,Recon,recovering,50
James,Thompson,GOV-VCMHATE2,1984-12-01,CT-600449,Sydney,AS-I8FZCN,3129,Air Force,A+,Major,OP017,Communications,recovering,80
Noah,Mukherjee,GOV-LF1M0CV9,1982-02-09,CT-014372,Melbourne,AS-M0NQRL,3189,Cyber,O+,Brigadier,OP168,Medic,active,7
